CLK,pv_voltage,speed_ref,speed_sensor,curr_ref,curr_sensor,ctr_sig
358,-31,300,0,105,-22576,1
360,0,300,0,105,0,1
362,0,300,0,105,0,1
363,0,300,0,105,0,1
365,0,300,0,105,0,1
367,0,300,0,105,0,1
368,-20,300,0,105,14320,1
370,27,300,0,105,-1648,1
372,-22,300,0,105,8816,1
375,22,300,0,105,-12112,1
377,-2,300,0,105,23960,1
379,-5,300,0,105,-15144,1
381,0,300,0,105,0,1
384,0,300,0,105,0,1
385,0,300,0,105,0,1
387,0,300,0,105,0,1
389,23,300,0,105,3856,1
391,12,300,0,105,-12112,1
393,-17,300,0,105,-10184,1
395,27,300,0,105,6888,1
397,2,300,0,105,-3576,1
399,28,300,0,105,24784,1
401,0,300,0,105,0,1
403,0,300,0,105,0,1
404,0,300,0,105,0,1
406,0,300,0,105,0,1
408,-20,300,0,105,-8536,1
410,-2,300,0,105,-3576,1
412,-17,300,0,105,-29184,1
414,27,300,0,105,6888,1
416,7,300,0,105,-3576,1
418,-1,300,0,105,-824,1
420,0,300,0,105,0,1
422,0,300,0,105,0,1
423,0,300,0,105,0,1
425,0,300,0,105,0,1
428,0,300,0,105,0,1
429,-21,300,0,105,-28360,1
432,-27,300,0,105,8816,1
434,-31,300,0,105,17352,1
436,12,300,0,105,15424,1
